accuracy,f1_score,precision,recall
0.9984962406015038,1.0,0.9984802431610942,0.9992395437262357
0.9980842911877394,1.0,0.998062015503876,0.9990300678952473
1.0,1.0,1.0,1.0
0.997907949790795,1.0,0.9978813559322034,0.9989395546129375
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9952324195470799,1.0,0.9951923076923077,0.9975903614457832
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9964726631393298,1.0,0.9964285714285714,0.998211091234347
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9971139971139971,1.0,0.9970887918486172,0.9985422740524781
0.9979633401221996,1.0,0.9979296066252588,0.9989637305699481
1.0,1.0,1.0,1.0
0.9856733524355301,1.0,0.9855491329479769,0.992721979621543
1.0,1.0,1.0,1.0
0.998220640569395,1.0,0.9981949458483754,0.999096657633243
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.994,1.0,0.9939271255060729,0.9969543147208122
0.99822695035461,1.0,0.9982078853046595,0.9991031390134529
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9988558352402745,1.0,0.9988479262672811,0.9994236311239193
0.9988038277511961,1.0,0.9987937273823885,0.9993964996982498
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984802431610942,1.0,0.9984662576687117,0.9992325402916347
0.9928952042628775,1.0,0.9927927927927928,0.9963833634719711
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9981132075471698,1.0,0.9980916030534351,0.9990448901623686
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.998046875,1.0,0.9980237154150198,0.9990108803165183
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
